ProtocolID,Section,Question,ScoringOptions,Notes
EMD-420,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-421,D. Pre-Arrival / Post Dispatch Instructions,(Delta or Charlie) Tell her/him to lie down (sit if difficulity breathing) and not to stand or walk,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-422,D. Pre-Arrival / Post Dispatch Instructions,(Non-elipd snakebite) Keep her/him from moving around. Keep the bitten area below heart-level if possible. Do not apple ice or turniquet. Do not give him/her alcohol to drink.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-423,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line with the caller if patient has a history of severe alergic reactions to the same type of inscet or substance or if his/her condition seems unstable or worsening.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-424,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-425,D. Pre-Arrival / Post Dispatch Instructions,Avoid further contact with the animal.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-426,D. Pre-Arrival / Post Dispatch Instructions,"If it's safe to do so, lock up or isolate the animal.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-427,D. Pre-Arrival / Post Dispatch Instructions,(Appropriate) Notify Animal Control,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-428,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-429,D. Pre-Arrival / Post Dispatch Instructions,"(Sexual assault) Do not change clothes, bathe, shower, or go to the bathroom.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-430,D. Pre-Arrival / Post Dispatch Instructions,"In volatile/criminal situations, refer to applicable law enforcement protocol.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-431,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-432,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-433,D. Pre-Arrival / Post Dispatch Instructions,"(>1 +E-1,2,3) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-434,D. Pre-Arrival / Post Dispatch Instructions,"(Asthma or other lung problems) If s/he has a prescribed inhaler or nebulizer for thse attacks, tell her/him to use it now/again.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-435,D. Pre-Arrival / Post Dispatch Instructions,(Patient medications requested and Alert) Remind her/him to do what her/his doctor has instructed for these situations.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-436,D. Pre-Arrival / Post Dispatch Instructions,(Special equipment/instructions not yet used) Advise her/him to use that treatment now,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-437,D. Pre-Arrival / Post Dispatch Instructions,"Utilize the Asprin Diagnostic & Instruction Tool - If authorized by local Medical Control and the chest pain/discomfort (Heart Attack Symptoms) patient is alert >16 years old, and has no reported STROKE symptoms.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-438,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-439,D. Pre-Arrival / Post Dispatch Instructions,"If her/his clothes are burning or smoldering, douse them with water immeadiately. If water is not available, then roll her/him on the ground or smother the fire.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-440,D. Pre-Arrival / Post Dispatch Instructions,(Explosion) Do not touch anything or pick up any debris.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-441,D. Pre-Arrival / Post Dispatch Instructions,Advise caller and responders of any potential hazards.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-442,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what do to next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-443,D. Pre-Arrival / Post Dispatch Instructions,(Danger inside) Leave the area immeadiately.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-444,D. Pre-Arrival / Post Dispatch Instructions,(Patient in enclosed space) Do not open any doors or windows in an attempt to gain access to the patient.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-445,D. Pre-Arrival / Post Dispatch Instructions,(Carbon monoxide) Do not use any open flame or anything that could cause a spark. Leave the building/area immediately (and leave the door open).,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-446,D. Pre-Arrival / Post Dispatch Instructions,Advise caller and responders of any potential hazards.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-447,D. Pre-Arrival / Post Dispatch Instructions,(OBVIOUS DEATH unquestionalbe) I'm sending someone to assist you. Please leave everything as you found it. Is there anything else we can do for you (or your family)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-448,D. Pre-Arrival / Post Dispatch Instructions,(EXPECTED DEATH unquestionalbe) I'm sending someone to assist you. Is ther anything else we can do for you (or your family)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-449,D. Pre-Arrival / Post Dispatch Instructions,(Suspected Workable Arrest) I'm sending the paramedics (ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-450,D. Pre-Arrival / Post Dispatch Instructions,(OBVIOUS or EXPECTED DEATH unquestionalbe) Notify proper authorities.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-451,D. Pre-Arrival / Post Dispatch Instructions,(Circulatory support device LVAD) Obtain phone number and contact any support staff or facility assigned to the patient with a circulatory support device.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-452,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-453,D. Pre-Arrival / Post Dispatch Instructions,"(>1+D-1,2,3) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-454,D. Pre-Arrival / Post Dispatch Instructions,(Patient medication requested and Alert) Remind him/her to do what her/his doctor has instructed for these situations.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-455,D. Pre-Arrival / Post Dispatch Instructions,Stay on the ine with the caller if her/his condition seems unstable or is worsening.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-456,D. Pre-Arrival / Post Dispatch Instructions,"Utilize the Asprin Diagnostic & Instruction Tool - If authorized by local Medical Control and the chest pain/discomfort (Heart Attack Symptoms) patient is alert >16 years old, and has no reported STROKE symptoms.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-457,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-458,D. Pre-Arrival / Post Dispatch Instructions,Do not slap him/her on the back.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-459,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-460,D. Pre-Arrival / Post Dispatch Instructions,"(>1+D-1 or D-3) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-461,D. Pre-Arrival / Post Dispatch Instructions,IF s/he is still seizing (or if s/he starts to seize again),"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-462,D. Pre-Arrival / Post Dispatch Instructions,"When s/he stops seizing, (lay her/him down and) make sure s/he is breathing.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-463,D. Pre-Arrival / Post Dispatch Instructions,Turn her/him gently on her/his side (left side if pregnant) when the seizure stops.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-464,D. Pre-Arrival / Post Dispatch Instructions,"When s/he wakes up, reassure her/him and tell her/him not to get up or walk around.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-465,D. Pre-Arrival / Post Dispatch Instructions,"(Not seizing) If s/he starts to seize again, tell me immediately.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-466,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line and check breathing often until the patient starts to wake up,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-467,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line if the complaint is an impending seizure (aura).,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-468,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-469,D. Pre-Arrival / Post Dispatch Instructions,"(>1 + Unconscious or Not alert) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-470,D. Pre-Arrival / Post Dispatch Instructions,(Patient medication requested and Alert) Remind her/him to do what her/his doctor has instructed for these situations.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-471,D. Pre-Arrival / Post Dispatch Instructions,"(Combative and >8) If it's safe to do so, observe her/him continuously and protect her/him from her/himself.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-472,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line with the caller if her//his condition seems unstable or is worsening.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-473,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-474,D. Pre-Arrival / Post Dispatch Instructions,"(>1 + Unconscious or Not alert) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-475,D. Pre-Arrival / Post Dispatch Instructions,(Domestic) Do not go in the water unless it's safe to do so.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-476,D. Pre-Arrival / Post Dispatch Instructions,(Specialized) Do not go in the water.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-477,D. Pre-Arrival / Post Dispatch Instructions,(SCUBA) Determine availability of the nearest hyperbaric chamber,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-478,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-479,D. Pre-Arrival / Post Dispatch Instructions,"(>1 + Unconscious or Not alert) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-480,D. Pre-Arrival / Post Dispatch Instructions,(Electrocution) Beware of electrical risks and electrified water.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-481,D. Pre-Arrival / Post Dispatch Instructions,"(Electrocution) If it's safe to do so, turn off the power.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-482,D. Pre-Arrival / Post Dispatch Instructions,(Lighting) Take shelter immediately inside an enclosed vehicle or building.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-483,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line with the caller until breathing can be safely verified.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-484,D. Pre-Arrival / Post Dispatch Instructions,Advise the caller and responders of any potential hazards.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-485,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-486,D. Pre-Arrival / Post Dispatch Instructions,"(TRAUMA) Do not touch, irrigate, or bandage the eye.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-487,D. Pre-Arrival / Post Dispatch Instructions,(Chemical) Gently flush with lots of water. Continue flushing until help arrives.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-488,D. Pre-Arrival / Post Dispatch Instructions,(Penetrating object) Do not pull it out.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-489,D. Pre-Arrival / Post Dispatch Instructions,(SEVERE eye injuries) Keep the head above chest level.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-490,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-491,D. Pre-Arrival / Post Dispatch Instructions,"(>1 + Unconscious or Not alert) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-492,D. Pre-Arrival / Post Dispatch Instructions,Do not move her/him unless s/he is in danger.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-493,D. Pre-Arrival / Post Dispatch Instructions,Do not splint any injuries.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-494,D. Pre-Arrival / Post Dispatch Instructions,(PUBLIC ASSIST) I will arrange to send _____ to help  you get her/him back into bed.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-495,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-496,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-497,D. Pre-Arrival / Post Dispatch Instructions,"(>1 + Not alert) If there is a defibrillator (AED) available, send someone to get it now in case we need it later.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-498,D. Pre-Arrival / Post Dispatch Instructions,(Patient medication requested and Alert) Remind him/her to do what her/his doctor has instructed for these situations.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-499,D. Pre-Arrival / Post Dispatch Instructions,"Utilize the Asprin Diagnostic & Instruction Tool - If authorized by local Medical Control and the chest pain/discomfort (Heart Attack Symptoms) patient is alert >16 years old, and has no reported STROKE symptoms.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-500,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-501,D. Pre-Arrival / Post Dispatch Instructions,(Heat exposure) Remove her/him from any source of heat. Remove her/his outer clothing. Apply cool water to her/his entire skin surface while fanning her/him. Turn on an air conditioner or fan.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-502,D. Pre-Arrival / Post Dispatch Instructions,(Cold exposure) Protect her/him from the cold. Remove wet clothing. Warm her/him without rubbing the affected area. Do not give her/him any alcohol to drink.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-503,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-504,D. Pre-Arrival / Post Dispatch Instructions,(Surgical wound) Do not touch the wound.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-505,D. Pre-Arrival / Post Dispatch Instructions,"(Varicose veins) Elevate the affected leg/arm (above heart level) on a cushion, pillow, or other soft object now.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-506,D. Pre-Arrival / Post Dispatch Instructions,(Surgical wound) Control bleding on if SERIOUS.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-507,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-508,D. Pre-Arrival / Post Dispatch Instructions,Do not enter/re-enter any hazardous or dangerous areas.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-509,D. Pre-Arrival / Post Dispatch Instructions,"(Appropriate) If it's safe to do so, turn off all equipment, except the ventilation.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-510,D. Pre-Arrival / Post Dispatch Instructions,Do not attempt to rescue her/him.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-511,D. Pre-Arrival / Post Dispatch Instructions,(Appropriate) Do not touch any equipment that may be suspending her/him.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-512,D. Pre-Arrival / Post Dispatch Instructions,(Appropriate) Tell her/him not to move.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-513,D. Pre-Arrival / Post Dispatch Instructions,Assign someone to guide the emergency unit to her/him.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-514,D. Pre-Arrival / Post Dispatch Instructions,Determine a specific meeting point for the emergency unit(s).,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-515,D. Pre-Arrival / Post Dispatch Instructions,Advise caller and responders of any potential hazards.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-516,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-517,D. Pre-Arrival / Post Dispatch Instructions,(Narcan/Naloxone help requested) I'm going to help you give the Narcan to her/him now.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-518,D. Pre-Arrival / Post Dispatch Instructions,(Appropriate) Contact and confirm transfer of the caller to Poison Control Center.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-519,D. Pre-Arrival / Post Dispatch Instructions,Stay on the line with the caller if her/his condition seems unstalbe or is worsening.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-520,D. Pre-Arrival / Post Dispatch Instructions,Utilze the Narcan/Naloxone Admin. Instructions if help is requested by the caller.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-521,D. Pre-Arrival / Post Dispatch Instructions,"In volatile/criminal situations, refer to applicable law enforcement protocol.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-522,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-523,D. Pre-Arrival / Post Dispatch Instructions,Do not try to prevent the birth (do not cross legs).,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-524,D. Pre-Arrival / Post Dispatch Instructions,Tell her not to sit on the toilet.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-525,D. Pre-Arrival / Post Dispatch Instructions,Allow her to assume the most comfortable position and have her take deep breaths between contractions (labor pains).,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-526,D. Pre-Arrival / Post Dispatch Instructions,(OMEGA referral) Tell her to call her healthcare provider or go directly to the hospital to be evaluated.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-527,D. Pre-Arrival / Post Dispatch Instructions,Follow the BREECH Positioning pathway when cervical cerclage (stitch) is associated with labor.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-528,D. Pre-Arrival / Post Dispatch Instructions,I'm Sending the Paramedics(Ambulance) to help you now. Stay on the line and I'll tell you exactly what to do next.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-529,D. Pre-Arrival / Post Dispatch Instructions,"If it's safe to do so, observe her/him continuously (beware of being attacked.)","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-530,D. Pre-Arrival / Post Dispatch Instructions,"If it's safe to do so, protect her/him from her/himself.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-531,D. Pre-Arrival / Post Dispatch Instructions,(1st party) Keep a violent or suicidal patient on the line.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-532,D. Pre-Arrival / Post Dispatch Instructions,"In volatile/criminal situations, refer to applicable law enforcement protocol.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
